Tweetidnumber,numimagesboth,tweetertype,tweeterteases,mention,numimgfem,numimgneither,numimgmuscular,numimgskinny,numimgbutt,numimgthigh,numimgarm,numimgneck,numimgtorso,numimgwaist,numimgbody,numimghealthyfood,imgfocuselse,imgfocusbody,imgfocusfood,webtopicelse,webtopicpa,webtopichealtyeat,webtopicdiet,webbroken,web,imagevid,medtype,hashtagonly,english,relevant,promotional,mentionmeds,mentioneatless,mentioneathealthy,mentionexercise,mentionstrength,mentionloseweight,mentionbinge,mentionvomit,mentionwantbody,mentionnone,mentiondisorder,noimage,webtopicmeds,numimgcandy,numimgcombo,numimgmale,numimgcanttell,name1,RT,likes,replies,Followed,Followers,Tweets,Favorites,thinspo,fitspo,thinfit,binumimagesboth,binumimgfem,binumimgarm,binumimgneither,binumimgmuscular,binumimgskinny,binumimgbutt,binumimgthigh,binumimgneck,binumimgtorso,binumimgwaist,binumimgbody,binumimghealthyfood,binumimgcandy,binumimgcombo,binumimgmale,binumimgcanttell
68076,0,organization or person representing an organization,No,0,1,1,0,0,0,0,0,0,0,0,1,NA,No,A body or parts of a body,NA,No,No,No,Dieting,NA,A web page,Image(s) or video(s),NA,No,Yes,Yes,Yes,No,Eating less food/fewer calories,No,Exercising harder/more often,No,No,No,No,No,No,No,NA,NA,NA,NA,0,0,133,0,0,0,551,2328,200256,0,0,1,fitspo,No,Yes,No,Yes,No,No,No,No,No,No,No,Yes,NA,NA,NA,No,No
68079,NA,organization or person representing an organization,No,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,Food,No,No,No,Dieting,NA,A web page,No,NA,No,Yes,Yes,Yes,No,Eating less food/fewer calories,No,Exercising harder/more often,No,Losing weight or wanting to be thinner,No,No,No,No,No,NA,NA,1,0,NA,NA,133,0,0,0,551,2328,200256,0,0,1,fitspo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Yes,No,NA,NA
7379,0,person representing personal views,No,1,1,0,0,1,0,1,0,0,0,0,0,NA,No,A body or parts of a body,NA,NA,NA,NA,NA,NA,No,Image(s) or video(s),NA,No,Yes,Yes,No,No,No,No,No,No,Losing weight or wanting to be thinner,No,No,"Wanting a body feature to look a specific way (must identify a specific body part, such as wanting smaller thighs, etc)",No,"Specifically mentions an eating disorder (e.g., anorexia, bulimia, BED, ana, mia, etc.)",NA,NA,NA,NA,0,0,139,0,2,0,25,4,107,22,1,0,thinspo,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,NA,NA,NA,No,No
55124,0,person representing personal views,Neutral and/or unable to tell,0,0,1,1,0,0,0,0,0,1,0,1,NA,No,A body or parts of a body,NA,NA,NA,NA,NA,NA,NA,Image(s) or video(s),NA,No,No,Yes,No,NA,NA,NA,Exercising harder/more often,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,152,0,0,0,8727,18411,20910,25,0,1,fitspo,No,No,No,Yes,Yes,No,No,No,No,Yes,No,Yes,NA,NA,NA,Yes,No
22781,0,organization or person representing an organization,No,0,1,1,0,0,0,0,0,0,0,0,1,NA,No,A body or parts of a body,NA,NA,NA,NA,NA,NA,No,Image(s) or video(s),NA,No,Yes,Yes,Yes,No,No,No,Exercising harder/more often,No,No,No,No,No,No,No,NA,NA,NA,NA,0,0,159,0,0,0,50,120,776,78,0,1,fitspo,No,Yes,No,Yes,No,No,No,No,No,No,No,Yes,NA,NA,NA,No,No
49356,NA,person representing personal views,Neutral and/or unable to tell,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Web page link does not work,NA,NA,NA,No,No,Yes,No,NA,NA,NA,Exercising harder/more often,Gaining strength and/or muscle mass/definition,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,166,0,0,0,1892,684,7076,13,0,1,fitspo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6740,NA,person representing personal views,Neutral and/or unable to tell,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,Yes,No,NA,NA,NA,NA,NA,Losing weight or wanting to be thinner,NA,NA,NA,NA,"Specifically mentions an eating disorder (e.g., anorexia, bulimia, BED, ana, mia, etc.)",Not applicable (does not show or link to image or web page),NA,NA,NA,NA,NA,169,0,1,0,7,13,25,1,1,0,thinspo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64229,NA,person representing personal views,Neutral and/or unable to tell,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,Yes,No,NA,NA,NA,NA,NA,Losing weight or wanting to be thinner,NA,NA,NA,NA,"Specifically mentions an eating disorder (e.g., anorexia, bulimia, BED, ana, mia, etc.)",Not applicable (does not show or link to image or web page),NA,NA,NA,NA,NA,169,0,1,0,7,13,25,1,1,0,thinspo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63172,0,organization or person representing an organization,No,1,0,0,1,0,0,0,0,0,0,0,1,NA,No,A body or parts of a body,NA,NA,NA,NA,NA,NA,No,Image(s) or video(s),NA,No,Yes,Yes,No,No,No,No,Exercising harder/more often,No,No,No,No,No,No,No,NA,NA,NA,NA,1,0,175,0,0,0,405,340,5713,124,0,1,fitspo,No,No,No,No,Yes,No,No,No,No,No,No,Yes,NA,NA,NA,Yes,No
50416,0,person representing personal views,No,0,1,0,1,1,0,0,0,0,0,0,1,NA,No,A body or parts of a body,NA,NA,NA,NA,NA,NA,No,Image(s) or video(s),NA,No,Yes,Yes,No,No,No,No,Exercising harder/more often,No,No,No,No,No,No,No,NA,NA,NA,NA,0,0,178,0,3,0,289,458,2154,2,0,1,fitspo,No,Yes,No,No,Yes,Yes,No,No,No,No,No,Yes,NA,NA,NA,No,No
21973,NA,organization or person representing an organization,No,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Something else,NA,NA,NA,NA,NA,NA,Web page link does not work,No,Image(s) or video(s),NA,No,Yes,Yes,Yes,No,Eating less food/fewer calories,No,Exercising harder/more often,No,Losing weight or wanting to be thinner,No,No,No,No,No,NA,NA,NA,NA,NA,NA,179,0,0,0,720,1117,18124,0,0,1,fitspo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48857,NA,organization or person representing an organization,No,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,NA,No,Yes,Yes,No,No,No,No,Exercising harder/more often,Gaining strength and/or muscle mass/definition,No,No,No,No,No,No,NA,NA,NA,NA,NA,NA,180,0,0,0,251,115,623,0,0,1,fitspo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51127,NA,organization or person representing an organization,No,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Something else,NA,NA,NA,NA,NA,NA,NA,No,Image(s) or video(s),NA,No,Yes,Yes,No,No,No,No,Exercising harder/more often,No,No,No,No,No,No,No,NA,NA,NA,NA,NA,NA,199,0,1,0,2250,982,3653,73,0,1,fitspo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51527,0,unable to tell,No,0,1,0,1,0,0,0,0,0,0,1,0,NA,No,A body or parts of a body,NA,NA,NA,NA,NA,NA,No,Image(s) or video(s),NA,Yes,Yes,Yes,No,No,No,No,Exercising harder/more often,Gaining strength and/or muscle mass/definition,No,No,No,No,No,No,NA,NA,NA,NA,0,0,204,0,0,0,2,1974,176953,3,0,1,fitspo,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,NA,NA,NA,No,No
