Tweetidnumber,numimagesboth,tweetertype,tweeterteases,mention,numimgfem,numimgneither,numimgmuscular,numimgskinny,numimgbutt,numimgthigh,numimgarm,numimgneck,numimgtorso,numimgwaist,numimgbody,numimghealthyfood,imgfocuselse,imgfocusbody,imgfocusfood,webtopicelse,webtopicpa,webtopichealtyeat,webtopicdiet,webbroken,web,imagevid,medtype,hashtagonly,english,relevant,promotional,mentionmeds,mentioneatless,mentioneathealthy,mentionexercise,mentionstrength,mentionloseweight,mentionbinge,mentionvomit,mentionwantbody,mentionnone,mentiondisorder,noimage,webtopicmeds,numimgcandy,numimgcombo,numimgmale,numimgcanttell,name1,RT,likes,replies,Followed,Followers,Tweets,Favorites,thinspo,fitspo,thinfit,binumimagesboth,binumimgfem,binumimgarm,binumimgneither,binumimgmuscular,binumimgskinny,binumimgbutt,binumimgthigh,binumimgneck,binumimgtorso,binumimgwaist,binumimgbody,binumimghealthyfood,binumimgcandy,binumimgcombo,binumimgmale,binumimgcanttell
24391,0,organization or person representing an organization,No,1,1,1,0,0,0,0,1,1,0,0,0,NA,No,A body or parts of a body,NA,Something else,Physical activity,No,No,NA,A web page,Image(s) or video(s),NA,No,Yes,Yes,Yes,No,No,No,Exercising harder/more often,No,No,No,No,No,No,No,NA,NA,NA,NA,0,0,176,1,2,0,485,2191,55498,20,0,1,fitspo,No,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,NA,NA,NA,No,No
35425,0,person representing personal views,No,0,1,0,1,0,0,0,0,0,0,1,0,NA,No,A body or parts of a body,NA,No,Physical activity,No,Dieting,NA,A web page,Image(s) or video(s),NA,No,Yes,Yes,Yes,No,No,No,Exercising harder/more often,No,Losing weight or wanting to be thinner,No,No,No,No,No,NA,NA,NA,NA,0,0,255,0,1,0,NA,NA,NA,NA,0,1,fitspo,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,NA,NA,NA,No,No
35462,0,organization or person representing an organization,No,0,1,0,1,0,0,0,0,0,0,0,1,NA,No,A body or parts of a body,NA,No,Physical activity,No,No,NA,A web page,Image(s) or video(s),NA,No,Yes,Yes,Yes,No,No,No,Exercising harder/more often,No,No,No,No,No,No,No,NA,NA,NA,NA,0,0,198,0,2,1,NA,NA,NA,NA,0,1,fitspo,No,Yes,No,No,Yes,No,No,No,No,No,No,Yes,NA,NA,NA,No,No
8347,NA,organization or person representing an organization,No,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Physical activity,No,No,NA,A web page,No,NA,No,Yes,Yes,No,No,No,No,Exercising harder/more often,No,No,No,No,No,No,No,NA,NA,NA,NA,NA,NA,219,0,0,0,234,826,578,25,0,1,fitspo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56605,0,organization or person representing an organization,No,0,1,0,0,1,0,0,0,0,0,0,1,NA,No,A body or parts of a body,NA,Something else,Physical activity,No,No,NA,A web page,Image(s) or video(s),NA,No,Yes,Yes,Yes,No,No,No,Exercising harder/more often,No,No,No,No,No,No,No,NA,NA,NA,NA,0,0,73,0,0,0,102,125,3247,0,0,1,fitspo,No,Yes,No,No,No,Yes,No,No,No,No,No,Yes,NA,NA,NA,No,No
59439,NA,organization or person representing an organization,No,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Physical activity,No,No,NA,A web page,No,NA,No,Yes,Yes,Yes,No,No,No,Exercising harder/more often,Gaining strength and/or muscle mass/definition,No,No,No,"Wanting a body feature to look a specific way (must identify a specific body part, such as wanting smaller thighs, etc)",No,No,NA,NA,NA,NA,NA,NA,484,0,2,0,269,273,1781,340,0,1,fitspo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54947,NA,person representing personal views,No,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Something else,NA,NA,No,Physical activity,Healthy eating,No,NA,A web page,Image(s) or video(s),NA,No,Yes,Yes,No,No,No,No,Exercising harder/more often,No,No,No,No,No,No,No,NA,NA,NA,NA,NA,NA,486,0,0,0,119,406,15616,2,0,1,fitspo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49645,NA,organization or person representing an organization,No,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Something else,NA,NA,No,Physical activity,No,No,NA,A web page,Image(s) or video(s),NA,No,Yes,Yes,Yes,No,No,No,Exercising harder/more often,Gaining strength and/or muscle mass/definition,No,No,No,No,No,No,NA,NA,NA,NA,NA,NA,488,0,0,0,3,9,71,17,0,1,fitspo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21836,NA,NA,No,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,No,NA,NA,NA,NA,Exercising harder/more often,NA,NA,NA,NA,NA,NA,NA,Not applicable (does not show or link to image or web page),NA,NA,NA,NA,NA,263,2231,4196,16,246,12154,7386,795,0,1,fitspo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
83,0,person representing personal views,No,1,8,0,0,8,0,2,1,0,1,3,1,NA,No,A body or parts of a body,NA,NA,NA,NA,NA,NA,No,Image(s) or video(s),NA,No,Yes,Yes,No,No,No,No,No,No,Losing weight or wanting to be thinner,No,No,"Wanting a body feature to look a specific way (must identify a specific body part, such as wanting smaller thighs, etc)",No,No,NA,NA,NA,NA,0,0,90,282,315,5,1938,1615,685,651,1,0,thinspo,No,Yes,Yes,No,No,Yes,No,Yes,No,Yes,Yes,Yes,NA,NA,NA,No,No
4628,0,person representing personal views,No,1,1,1,0,0,0,0,0,0,1,0,0,NA,No,A body or parts of a body,NA,NA,NA,NA,NA,NA,No,Image(s) or video(s),NA,No,Yes,Yes,No,No,No,No,No,No,Losing weight or wanting to be thinner,No,No,No,No,No,NA,NA,NA,NA,0,0,34,279,368,0,25,38,210,63,1,0,thinspo,No,Yes,No,Yes,No,No,No,No,No,Yes,No,No,NA,NA,NA,No,No
3659,0,person representing personal views,No,1,1,1,0,0,0,0,0,0,0,0,0,NA,No,A body or parts of a body,NA,NA,NA,NA,NA,NA,No,Image(s) or video(s),NA,No,Yes,Yes,No,No,No,No,No,No,Losing weight or wanting to be thinner,No,No,No,No,No,NA,NA,NA,NA,0,0,91,279,368,0,160,390,2423,1512,1,0,thinspo,No,Yes,No,Yes,No,No,No,No,No,No,No,No,NA,NA,NA,No,No
39795,0,person representing personal views,No,1,1,1,0,0,1,1,1,0,0,1,0,NA,No,A body or parts of a body,NA,NA,NA,NA,NA,NA,No,Image(s) or video(s),NA,No,Yes,Yes,No,No,No,No,No,No,Losing weight or wanting to be thinner,No,No,No,No,No,NA,NA,NA,NA,0,0,120,279,368,0,123,321,17057,1435,1,0,thinspo,No,Yes,Yes,Yes,No,No,Yes,Yes,No,No,Yes,No,NA,NA,NA,No,No
27370,0,person representing personal views,No,0,1,1,0,0,0,0,0,0,1,0,0,NA,No,A body or parts of a body,NA,NA,NA,NA,NA,NA,No,Image(s) or video(s),NA,No,Yes,Yes,No,No,No,No,No,No,Losing weight or wanting to be thinner,No,No,No,No,No,NA,NA,NA,NA,0,0,299,279,368,0,232,246,556,263,1,0,thinspo,No,Yes,No,Yes,No,No,No,No,No,Yes,No,No,NA,NA,NA,No,No
6895,0,person representing personal views,No,0,1,0,0,0,0,0,0,0,1,0,0,NA,No,A body or parts of a body,NA,NA,NA,NA,NA,NA,No,Image(s) or video(s),NA,No,Yes,Yes,No,No,No,No,No,No,Losing weight or wanting to be thinner,No,No,No,No,No,NA,NA,NA,NA,0,0,344,279,368,0,19,7,10,17,1,0,thinspo,No,Yes,No,No,No,No,No,No,No,Yes,No,No,NA,NA,NA,No,No
28861,0,person representing personal views,No,0,1,1,0,0,0,0,0,0,0,1,0,NA,No,A body or parts of a body,NA,NA,NA,NA,NA,NA,No,Image(s) or video(s),NA,No,Yes,Yes,No,No,No,No,No,No,Losing weight or wanting to be thinner,No,No,No,No,No,NA,NA,NA,NA,0,0,357,279,368,0,354,695,4575,2722,1,0,thinspo,No,Yes,No,Yes,No,No,No,No,No,No,Yes,No,NA,NA,NA,No,No
39807,0,person representing personal views,No,1,1,1,0,0,1,1,1,0,0,1,0,NA,No,A body or parts of a body,NA,NA,NA,NA,NA,NA,No,Image(s) or video(s),NA,No,Yes,Yes,No,No,No,No,No,No,Losing weight or wanting to be thinner,No,No,No,No,No,NA,NA,NA,NA,0,0,389,279,368,0,32,4,189,384,1,0,thinspo,No,Yes,Yes,Yes,No,No,Yes,Yes,No,No,Yes,No,NA,NA,NA,No,No
55368,0,person representing personal views,No,0,1,0,0,1,0,0,0,0,1,0,0,NA,No,A body or parts of a body,NA,NA,NA,NA,NA,NA,No,Image(s) or video(s),NA,No,Yes,Yes,No,No,No,No,No,No,Losing weight or wanting to be thinner,No,No,No,No,No,NA,NA,NA,NA,0,0,446,279,368,0,49,17,55,8,1,0,thinspo,No,Yes,No,No,No,Yes,No,No,No,Yes,No,No,NA,NA,NA,No,No
7353,0,person representing personal views,No,0,4,1,0,3,0,1,0,1,0,2,0,NA,No,A body or parts of a body,NA,NA,NA,NA,NA,NA,No,Image(s) or video(s),NA,No,Yes,Yes,No,No,No,No,No,No,Losing weight or wanting to be thinner,No,No,No,No,No,NA,NA,NA,NA,0,0,302,138,140,0,462,554,2761,170,1,0,thinspo,No,Yes,No,Yes,No,Yes,No,Yes,Yes,No,Yes,No,NA,NA,NA,No,No
27345,0,person representing personal views,No,1,4,4,0,0,0,0,0,0,1,2,1,NA,No,A body or parts of a body,NA,NA,NA,NA,NA,NA,No,Image(s) or video(s),NA,No,Yes,Yes,No,No,No,No,No,No,Losing weight or wanting to be thinner,No,Vomiting or fasting,No,No,No,NA,NA,NA,NA,0,0,163,132,204,1,NA,NA,NA,NA,1,0,thinspo,No,Yes,No,Yes,No,No,No,No,No,Yes,Yes,Yes,NA,NA,NA,No,No
44332,0,person representing personal views,No,1,3,0,0,3,0,1,0,0,0,2,0,NA,No,A body or parts of a body,NA,NA,NA,NA,NA,NA,No,Image(s) or video(s),NA,Yes,Yes,Yes,No,No,No,No,No,No,Losing weight or wanting to be thinner,No,No,No,No,No,NA,NA,NA,NA,0,0,298,127,127,0,17,3,96,26,1,0,thinspo,No,Yes,No,No,No,Yes,No,Yes,No,No,Yes,No,NA,NA,NA,No,No
103,0,person representing personal views,No,1,1,0,0,1,0,0,0,0,0,0,1,NA,No,A body or parts of a body,NA,NA,NA,NA,NA,NA,No,Image(s) or video(s),NA,No,Yes,Yes,No,No,No,No,No,No,Losing weight or wanting to be thinner,No,No,No,No,No,NA,NA,NA,NA,0,0,510,115,157,4,527,1991,16628,2932,1,0,thinspo,No,Yes,No,No,No,Yes,No,No,No,No,No,Yes,NA,NA,NA,No,No
28558,0,person representing personal views,No,0,1,1,0,0,0,0,0,0,0,1,0,NA,No,A body or parts of a body,NA,NA,NA,NA,NA,NA,No,Image(s) or video(s),NA,No,Yes,Yes,No,No,No,No,No,No,Losing weight or wanting to be thinner,No,No,No,No,No,NA,NA,NA,NA,0,0,61,113,126,0,1922,14604,66526,27095,1,0,thinspo,No,Yes,No,Yes,No,No,No,No,No,No,Yes,No,NA,NA,NA,No,No
39184,0,person representing personal views,No,1,1,1,0,0,0,0,0,0,0,1,0,NA,No,A body or parts of a body,NA,NA,NA,NA,NA,NA,No,Image(s) or video(s),NA,No,Yes,Yes,No,No,No,No,No,No,Losing weight or wanting to be thinner,No,No,No,No,No,NA,NA,NA,NA,0,0,284,113,126,0,84,94,779,33,1,0,thinspo,No,Yes,No,Yes,No,No,No,No,No,No,Yes,No,NA,NA,NA,No,No
39125,0,person representing personal views,No,1,1,1,0,0,0,0,0,0,0,1,0,NA,No,A body or parts of a body,NA,NA,NA,NA,NA,NA,No,Image(s) or video(s),NA,No,Yes,Yes,No,No,No,No,No,No,Losing weight or wanting to be thinner,No,No,No,No,No,NA,NA,NA,NA,0,0,536,113,126,0,98,149,991,610,1,0,thinspo,No,Yes,No,Yes,No,No,No,No,No,No,Yes,No,NA,NA,NA,No,No
47774,0,person representing personal views,No,1,4,0,0,4,0,1,0,0,1,0,2,NA,No,A body or parts of a body,NA,NA,NA,NA,NA,NA,No,Image(s) or video(s),NA,Yes,Yes,Yes,No,No,No,No,No,No,Losing weight or wanting to be thinner,No,No,No,No,No,NA,NA,NA,NA,0,0,125,110,122,1,247,95,178,91,1,0,thinspo,No,Yes,No,No,No,Yes,No,Yes,No,Yes,No,Yes,NA,NA,NA,No,No
50238,0,person representing personal views,No,0,3,0,0,3,0,0,0,0,2,0,1,NA,No,A body or parts of a body,NA,NA,NA,NA,NA,NA,No,Image(s) or video(s),NA,Yes,Yes,Yes,No,No,No,No,No,No,Losing weight or wanting to be thinner,No,No,No,No,No,NA,NA,NA,NA,0,0,524,109,105,1,210,308,1794,2939,1,0,thinspo,No,Yes,No,No,No,Yes,No,No,No,Yes,No,Yes,NA,NA,NA,No,No
1197,0,person representing personal views,No,1,4,0,0,4,0,0,1,0,1,2,0,NA,No,A body or parts of a body,NA,NA,NA,NA,NA,NA,No,Image(s) or video(s),NA,No,Yes,Yes,No,No,No,No,No,No,Losing weight or wanting to be thinner,No,Vomiting or fasting,No,No,No,NA,NA,NA,NA,0,0,452,102,114,1,2152,2158,7105,196,1,0,thinspo,No,Yes,Yes,No,No,Yes,No,No,No,Yes,Yes,No,NA,NA,NA,No,No
6205,0,person representing personal views,No,1,4,2,0,2,0,3,0,0,0,0,1,NA,No,A body or parts of a body,NA,NA,NA,NA,NA,NA,No,Image(s) or video(s),NA,No,Yes,Yes,No,No,No,No,No,No,Losing weight or wanting to be thinner,No,No,"Wanting a body feature to look a specific way (must identify a specific body part, such as wanting smaller thighs, etc)",No,No,NA,NA,NA,NA,0,0,151,99,110,0,177,597,4868,1163,1,0,thinspo,No,Yes,No,Yes,No,Yes,No,Yes,No,No,No,Yes,NA,NA,NA,No,No
3241,0,person representing personal views,No,1,4,2,0,2,0,3,0,0,0,1,1,NA,No,A body or parts of a body,NA,NA,NA,NA,NA,NA,No,Image(s) or video(s),NA,No,Yes,Yes,No,No,No,No,No,No,Losing weight or wanting to be thinner,No,No,"Wanting a body feature to look a specific way (must identify a specific body part, such as wanting smaller thighs, etc)",No,No,NA,NA,NA,NA,0,0,353,99,110,0,193,96,726,109,1,0,thinspo,No,Yes,No,Yes,No,Yes,No,Yes,No,No,Yes,Yes,NA,NA,NA,No,No
59901,0,person representing personal views,No,0,4,0,0,4,0,3,0,0,0,0,1,NA,No,A body or parts of a body,NA,NA,NA,NA,NA,NA,No,Image(s) or video(s),NA,No,Yes,Yes,No,No,No,No,No,No,Losing weight or wanting to be thinner,No,No,"Wanting a body feature to look a specific way (must identify a specific body part, such as wanting smaller thighs, etc)",No,No,NA,NA,NA,NA,0,0,364,99,110,0,385,1323,15006,2468,1,0,thinspo,No,Yes,No,No,No,Yes,No,Yes,No,No,No,Yes,NA,NA,NA,No,No
48039,0,person representing personal views,No,1,4,0,0,2,0,3,0,0,0,0,1,NA,No,A body or parts of a body,NA,NA,NA,NA,NA,NA,No,Image(s) or video(s),NA,No,Yes,Yes,No,No,No,No,No,No,Losing weight or wanting to be thinner,No,No,"Wanting a body feature to look a specific way (must identify a specific body part, such as wanting smaller thighs, etc)",No,No,NA,NA,NA,NA,0,0,480,99,110,0,448,1027,50567,19191,1,0,thinspo,No,Yes,No,No,No,Yes,No,Yes,No,No,No,Yes,NA,NA,NA,No,No
22999,0,person representing personal views,No,0,4,2,0,2,0,3,0,0,0,1,1,NA,No,A body or parts of a body,NA,NA,NA,NA,NA,NA,No,Image(s) or video(s),NA,No,Yes,Yes,No,No,No,No,No,No,Losing weight or wanting to be thinner,No,No,"Wanting a body feature to look a specific way (must identify a specific body part, such as wanting smaller thighs, etc)",No,No,NA,NA,NA,NA,0,0,545,99,110,0,1628,569,11125,21330,1,0,thinspo,No,Yes,No,Yes,No,Yes,No,Yes,No,No,Yes,Yes,NA,NA,NA,No,No
46853,1,unable to tell,No,1,0,1,0,0,0,0,0,0,0,0,1,NA,No,A body or parts of a body,NA,NA,NA,NA,NA,NA,No,Image(s) or video(s),NA,No,Yes,Yes,No,No,No,No,Exercising harder/more often,Gaining strength and/or muscle mass/definition,No,No,No,No,No,No,NA,NA,NA,NA,0,0,399,98,228,21,294,533,3297,13039,0,1,fitspo,Yes,No,No,Yes,No,No,No,No,No,No,No,Yes,NA,NA,NA,No,No
48668,0,person representing personal views,No,1,4,0,0,4,0,0,0,0,0,2,2,NA,No,A body or parts of a body,NA,NA,NA,NA,NA,NA,No,Image(s) or video(s),NA,No,Yes,Yes,No,No,No,No,No,No,Losing weight or wanting to be thinner,No,No,No,No,No,NA,NA,NA,NA,0,0,3,96,108,0,2727,1222,58426,18269,1,0,thinspo,No,Yes,No,No,No,Yes,No,No,No,No,Yes,Yes,NA,NA,NA,No,No
64503,0,person representing personal views,No,1,4,0,0,4,0,0,0,0,0,2,2,NA,No,A body or parts of a body,NA,NA,NA,NA,NA,NA,No,Image(s) or video(s),NA,No,Yes,Yes,No,No,No,No,No,No,Losing weight or wanting to be thinner,No,No,No,No,No,NA,NA,NA,NA,0,0,9,96,108,0,36,21,454,0,1,0,thinspo,No,Yes,No,No,No,Yes,No,No,No,No,Yes,Yes,NA,NA,NA,No,No
47736,0,person representing personal views,No,1,4,0,0,4,0,0,0,0,0,2,2,NA,No,A body or parts of a body,NA,NA,NA,NA,NA,NA,No,Image(s) or video(s),NA,No,Yes,Yes,No,No,No,No,No,No,Losing weight or wanting to be thinner,No,No,No,No,No,NA,NA,NA,NA,0,0,111,96,108,0,135,109,630,475,1,0,thinspo,No,Yes,No,No,No,Yes,No,No,No,No,Yes,Yes,NA,NA,NA,No,No
22858,0,person representing personal views,No,0,2,2,0,0,0,1,0,0,0,1,1,NA,No,A body or parts of a body,NA,NA,NA,NA,NA,NA,No,Image(s) or video(s),NA,No,Yes,Yes,No,No,No,No,No,No,Losing weight or wanting to be thinner,No,No,"Wanting a body feature to look a specific way (must identify a specific body part, such as wanting smaller thighs, etc)",No,No,NA,NA,NA,NA,0,0,535,88,70,0,347,294,1728,54,1,0,thinspo,No,Yes,No,Yes,No,No,No,Yes,No,No,Yes,Yes,NA,NA,NA,No,No
22146,0,person representing personal views,No,1,4,0,0,4,0,4,0,0,0,4,0,NA,No,A body or parts of a body,NA,NA,NA,NA,NA,NA,No,Image(s) or video(s),NA,No,Yes,Yes,No,No,No,No,No,No,Losing weight or wanting to be thinner,No,No,No,No,No,NA,NA,NA,NA,0,0,10,82,88,1,73,110,1964,468,1,0,thinspo,No,Yes,No,No,No,Yes,No,Yes,No,No,Yes,No,NA,NA,NA,No,No
58647,0,person representing personal views,No,1,4,0,0,4,0,0,0,0,0,1,3,NA,No,A body or parts of a body,NA,NA,NA,NA,NA,NA,No,Image(s) or video(s),NA,No,Yes,Yes,No,No,No,No,No,No,Losing weight or wanting to be thinner,No,No,No,No,No,NA,NA,NA,NA,0,0,67,82,88,1,969,357,876,644,1,0,thinspo,No,Yes,No,No,No,Yes,No,No,No,No,Yes,Yes,NA,NA,NA,No,No
45127,0,person representing personal views,No,0,4,0,0,4,0,4,0,0,0,4,0,NA,No,A body or parts of a body,NA,NA,NA,NA,NA,NA,No,Image(s) or video(s),NA,No,Yes,Yes,No,No,No,No,No,No,Losing weight or wanting to be thinner,No,No,No,No,No,NA,NA,NA,NA,0,0,271,82,88,1,345,114,172,14,1,0,thinspo,No,Yes,No,No,No,Yes,No,Yes,No,No,Yes,No,NA,NA,NA,No,No
22287,0,person representing personal views,No,0,4,0,0,4,0,4,0,0,0,1,0,NA,No,A body or parts of a body,NA,NA,NA,NA,NA,NA,No,Image(s) or video(s),NA,No,Yes,Yes,No,No,No,No,No,No,Losing weight or wanting to be thinner,No,No,No,No,No,NA,NA,NA,NA,0,0,450,82,88,1,561,362,1852,289,1,0,thinspo,No,Yes,No,No,No,Yes,No,Yes,No,No,Yes,No,NA,NA,NA,No,No
45012,0,person representing personal views,No,0,4,0,1,3,0,1,0,1,0,1,1,NA,No,A body or parts of a body,NA,NA,NA,NA,NA,NA,No,Image(s) or video(s),NA,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,None of these,No,NA,NA,NA,NA,0,0,244,80,87,2,588,864,21277,4900,1,0,thinspo,No,Yes,No,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,NA,NA,NA,No,No
18933,0,person representing personal views,No,0,4,0,0,4,0,0,0,0,0,0,4,NA,No,A body or parts of a body,NA,NA,NA,NA,NA,NA,No,Image(s) or video(s),NA,No,Yes,Yes,No,No,No,No,No,No,Losing weight or wanting to be thinner,No,No,No,No,No,NA,NA,NA,NA,0,0,456,77,98,2,86,118,422,531,1,0,thinspo,No,Yes,No,No,No,Yes,No,No,No,No,No,Yes,NA,NA,NA,No,No
7131,0,person representing personal views,No,0,4,0,0,4,0,0,0,0,0,0,4,NA,No,A body or parts of a body,NA,NA,NA,NA,NA,NA,No,Image(s) or video(s),NA,No,Yes,Yes,No,No,No,No,No,No,Losing weight or wanting to be thinner,No,No,No,No,No,NA,NA,NA,NA,0,0,508,77,98,2,446,584,2587,3685,1,0,thinspo,No,Yes,No,No,No,Yes,No,No,No,No,No,Yes,NA,NA,NA,No,No
14712,0,person representing personal views,No,0,4,1,0,3,0,0,0,0,0,0,4,NA,No,A body or parts of a body,NA,NA,NA,NA,NA,NA,No,Image(s) or video(s),NA,No,Yes,Yes,No,No,No,No,No,No,Losing weight or wanting to be thinner,No,No,No,No,No,NA,NA,NA,NA,0,0,3,76,74,0,2727,1222,58426,18269,1,0,thinspo,No,Yes,No,Yes,No,Yes,No,No,No,No,No,Yes,NA,NA,NA,No,No
8451,0,person representing personal views,No,0,4,1,0,3,0,0,0,0,1,0,3,NA,No,A body or parts of a body,NA,NA,NA,NA,NA,NA,No,Image(s) or video(s),NA,No,Yes,Yes,No,No,No,No,No,No,Losing weight or wanting to be thinner,No,No,No,No,No,NA,NA,NA,NA,0,0,182,76,74,0,48,153,290,63,1,0,thinspo,No,Yes,No,Yes,No,Yes,No,No,No,Yes,No,Yes,NA,NA,NA,No,No
20297,0,person representing personal views,No,0,4,1,0,3,0,0,0,0,0,0,4,NA,No,A body or parts of a body,NA,NA,NA,NA,NA,NA,No,Image(s) or video(s),NA,Yes,Yes,Yes,No,No,No,No,No,No,Losing weight or wanting to be thinner,No,No,No,No,No,NA,NA,NA,NA,0,0,145,75,79,1,8527,8937,163213,1922,1,0,thinspo,No,Yes,No,Yes,No,Yes,No,No,No,No,No,Yes,NA,NA,NA,No,No
5269,0,person representing personal views,No,1,4,0,0,4,0,0,0,0,1,0,3,NA,No,A body or parts of a body,NA,NA,NA,NA,NA,NA,No,Image(s) or video(s),NA,Yes,Yes,Yes,No,No,No,No,No,No,Losing weight or wanting to be thinner,No,No,No,No,No,NA,NA,NA,NA,0,0,319,75,79,1,96,139,6539,126,1,0,thinspo,No,Yes,No,No,No,Yes,No,No,No,Yes,No,Yes,NA,NA,NA,No,No
7736,0,person representing personal views,No,0,4,1,0,3,0,0,0,0,3,0,1,NA,No,A body or parts of a body,NA,NA,NA,NA,NA,NA,No,Image(s) or video(s),NA,No,Yes,Yes,No,No,No,No,No,No,Losing weight or wanting to be thinner,No,Vomiting or fasting,No,No,No,NA,NA,NA,NA,0,0,100,74,80,2,728,207,210,422,1,0,thinspo,No,Yes,No,Yes,No,Yes,No,No,No,Yes,No,Yes,NA,NA,NA,No,No
10595,0,person representing personal views,No,0,4,1,0,3,0,0,0,0,3,0,1,NA,No,A body or parts of a body,NA,NA,NA,NA,NA,NA,No,Image(s) or video(s),NA,No,Yes,Yes,No,No,No,No,No,No,Losing weight or wanting to be thinner,No,Vomiting or fasting,No,No,No,NA,NA,NA,NA,0,0,381,74,80,2,317,315,1219,936,1,0,thinspo,No,Yes,No,Yes,No,Yes,No,No,No,Yes,No,Yes,NA,NA,NA,No,No
56839,0,person representing personal views,No,0,4,0,0,4,0,0,0,0,1,2,1,NA,No,A body or parts of a body,NA,NA,NA,NA,NA,NA,No,Image(s) or video(s),NA,No,Yes,Yes,No,No,Eating less food/fewer calories,No,No,No,Losing weight or wanting to be thinner,No,Vomiting or fasting,No,No,No,NA,NA,NA,NA,0,0,524,74,80,2,210,308,1794,2939,1,0,thinspo,No,Yes,No,No,No,Yes,No,No,No,Yes,Yes,Yes,NA,NA,NA,No,No
40091,0,person representing personal views,No,1,4,1,0,3,0,0,0,0,0,0,4,NA,No,A body or parts of a body,NA,NA,NA,NA,NA,NA,No,Image(s) or video(s),NA,No,Yes,Yes,No,No,No,No,No,No,Losing weight or wanting to be thinner,Binge eating or over eating,Vomiting or fasting,No,No,No,NA,NA,NA,NA,0,0,1,73,105,0,435,401,648,3321,1,0,thinspo,No,Yes,No,Yes,No,Yes,No,No,No,No,No,Yes,NA,NA,NA,No,No
30902,0,person representing personal views,No,0,4,2,0,2,0,0,0,0,0,0,4,NA,No,A body or parts of a body,NA,NA,NA,NA,NA,NA,No,Image(s) or video(s),NA,No,Yes,Yes,No,No,No,No,No,No,Losing weight or wanting to be thinner,Binge eating or over eating,Vomiting or fasting,No,No,No,NA,NA,NA,NA,0,0,74,73,105,0,359,79,206,53,1,0,thinspo,No,Yes,No,Yes,No,Yes,No,No,No,No,No,Yes,NA,NA,NA,No,No
26586,0,person representing personal views,No,0,4,1,0,3,0,0,0,0,0,0,4,NA,No,A body or parts of a body,NA,NA,NA,NA,NA,NA,No,Image(s) or video(s),NA,No,Yes,Yes,No,No,No,No,No,No,Losing weight or wanting to be thinner,Binge eating or over eating,Vomiting or fasting,No,No,No,NA,NA,NA,NA,0,0,329,73,105,0,2596,2187,8535,5400,1,0,thinspo,No,Yes,No,Yes,No,Yes,No,No,No,No,No,Yes,NA,NA,NA,No,No
29648,0,person representing personal views,Neutral and/or unable to tell,0,4,4,0,0,0,0,0,0,0,0,4,NA,No,A body or parts of a body,NA,NA,NA,NA,NA,NA,No,Image(s) or video(s),NA,No,Yes,Yes,No,No,Eating less food/fewer calories,No,No,No,Losing weight or wanting to be thinner,Binge eating or over eating,Vomiting or fasting,No,No,No,NA,NA,NA,NA,0,0,347,73,105,0,27,4,13,4,1,0,thinspo,No,Yes,No,Yes,No,No,No,No,No,No,No,Yes,NA,NA,NA,No,No
44596,NA,person representing personal views,No,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,NA,No,Yes,Yes,No,No,No,Eating healthier food,Exercising harder/more often,No,No,No,No,No,No,No,Not applicable (does not show or link to image or web page),NA,NA,NA,NA,NA,249,71,322,19,1743,438,676,2290,0,1,fitspo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21628,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tweet is not working / can't access the tweet,Unable to tell,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,442,70,46,0,17,6,13,0,1,0,thinspo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
